                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7957,                0.69119,                 1.0477,                0.89487,                0.84993,                0.91385,                0.72936,                0.89812,                0.72886,                 1.0788,             0.00064355,             0.00064355,             0.00064355
                     36,                0.80782,                0.68927,                 1.0503,                0.87408,                0.83065,                0.90714,                0.72738,                0.88549,                 0.7338,                 1.0737,              0.0006298,              0.0006298,              0.0006298
                     37,                0.80363,                0.69264,                 1.0429,                0.85677,                0.83868,                0.89859,                0.71211,                0.93502,                0.78178,                 1.1131,             0.00061605,             0.00061605,             0.00061605
                     38,                0.78775,                0.69874,                 1.0455,                0.87511,                0.84767,                0.90789,                0.72959,                0.89298,                0.74559,                  1.088,              0.0006023,              0.0006023,              0.0006023
                     39,                0.76932,                0.66543,                 1.0296,                0.88067,                0.83082,                0.91792,                0.73654,                0.86798,                0.72291,                 1.0663,             0.00058855,             0.00058855,             0.00058855
                     40,                0.77001,                0.66505,                  1.029,                0.86206,                0.84802,                0.91006,                0.73092,                0.90087,                0.73798,                 1.0912,              0.0005748,              0.0005748,              0.0005748
                     41,                0.77433,                0.65898,                 1.0376,                0.87716,                0.82921,                0.90758,                 0.7175,                0.92238,                0.75723,                 1.0959,             0.00056105,             0.00056105,             0.00056105
                     42,                0.76683,                0.65009,                 1.0242,                0.85353,                0.85559,                 0.9108,                0.73037,                0.87225,                0.72572,                 1.0616,             0.00054731,             0.00054731,             0.00054731
                     43,                0.75961,                0.63661,                 1.0241,                0.87004,                0.84985,                0.90841,                 0.7354,                0.86973,                0.71584,                 1.0608,             0.00053356,             0.00053356,             0.00053356
                     44,                0.76881,                0.63877,                 1.0277,                0.88365,                0.84151,                0.90984,                0.72732,                 0.9207,                0.71365,                  1.103,             0.00051981,             0.00051981,             0.00051981
                     45,                0.74604,                 0.6283,                 1.0168,                0.90267,                0.85986,                0.92111,                0.74633,                0.87157,                0.67139,                 1.0689,             0.00050606,             0.00050606,             0.00050606
                     46,                0.75065,                0.62904,                 1.0176,                0.84071,                0.84967,                0.89689,                0.72165,                0.88995,                0.76818,                 1.0882,             0.00049231,             0.00049231,             0.00049231
                     47,                0.75028,                0.62712,                 1.0221,                0.88916,                0.85887,                 0.9216,                0.74631,                0.86241,                0.68011,                 1.0634,             0.00047856,             0.00047856,             0.00047856
                     48,                0.74329,                0.61696,                 1.0203,                 0.8974,                 0.8399,                0.91127,                0.74609,                0.86817,                0.67825,                 1.0765,             0.00046481,             0.00046481,             0.00046481
                     49,                 0.7303,                0.59754,                 1.0176,                0.87762,                0.84531,                0.90639,                  0.731,                0.87957,                0.70484,                 1.0805,             0.00045107,             0.00045107,             0.00045107
                     50,                 0.7337,                0.60388,                  1.014,                  0.848,                0.88055,                0.91209,                0.73474,                0.88754,                0.71883,                 1.0783,             0.00043732,             0.00043732,             0.00043732
                     51,                0.73576,                0.58772,                 1.0194,                0.86846,                0.86226,                0.90395,                0.72884,                0.88802,                0.72447,                 1.0718,             0.00042357,             0.00042357,             0.00042357
                     52,                0.73549,                0.60318,                  1.007,                0.86415,                0.86043,                0.90825,                0.73411,                0.91234,                0.71179,                 1.1009,             0.00040982,             0.00040982,             0.00040982
                     53,                0.71287,                0.58299,                 1.0083,                0.89045,                0.83919,                0.90592,                0.73585,                0.89641,                0.72473,                 1.0862,             0.00039607,             0.00039607,             0.00039607
                     54,                0.71348,                0.57908,                 1.0075,                0.86388,                0.85263,                 0.9046,                0.73672,                0.85527,                0.73501,                 1.0508,             0.00038232,             0.00038232,             0.00038232
                     55,                0.69352,                0.55928,                0.99729,                0.88108,                0.85194,                0.91595,                0.74877,                0.85255,                0.69595,                 1.0532,             0.00036857,             0.00036857,             0.00036857
